职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
游戏国内发行负责人（射击项目）-OAK Studio,深圳,字节跳动,本科,5-10年,,5-10万,岗位职责：1、统筹游戏在中国大陆的发行工作，包括但不限于制定发行策略、发行执行计划、营销策略与创意、渠道合作、媒体PR、广告投放、市场活动等；2、根据产品特色、运营节奏和用户分析，制定并落地大陆市场发行全案，对预算进行分配，对项目经营结果负责；3、与研发、运营、美术、研发、UG等相关部门协作，确保市场推广与产品研发方向的一致性；4、深入了解主机/PC游戏领域，精准把握目标用户群体需求和市场趋势，输...,互联网,http://jobs.zhaopin.com/CC469217510J40816843001.htm,10000人以上,2025-12-25 17:27:12
总经办经理,深圳,深圳鼎华伟业商贸有限公司,大专,3-5年,"门店运营,电商运营,京东,淘宝,拼多多,新媒体运营,抖音,快手,微信公众号,toB,toC",3-6万,一、形象好气质佳，懂公关技巧，对酒不反感，可以适量酒量。从事过进口酒水、高端食品饮料、高档酒店会所行业持有驾照者优先考虑。 二、工作经验 具备3年以上中大型企业或5年以上相关企业综合管理工作、企业管理、行政管理工作经验，有同等职位工作经验者优先。三、知识技能 具备全面的管理知识，熟悉财务、人力资源、市场等相关专业知识。 熟悉企业经营管理、公共关系、法律事务等知识基础，熟悉国家相关劳动行政法律法规。...,烟草/酒业,http://jobs.zhaopin.com/CCL1494155750J40687676511.htm,100-299人,2025-03-12 00:59:21
运营经理,深圳,苏州人瑞普惠人力资源服务有限公司,本科,5-10年,,3-5万,1、负责APP的平台运营，包含产品运营、用户运营、数据运营等工作，制定总体运营策略和落地，提升规模、用户活跃和收入；2、跨部门协同，推动体系内各业务协作，通过联合运营达成业务目标；3、洞察、关注、分析行业趋势及优秀增长案例，总结沉淀经验，探索新的增长方向；4、对关键业务运营指标负责。职位要求：1、5年以上互联网金融、工具平台等相关app的产品运营、商业化运营工作经验；2、本科及以上学历，具有良好的...,互联网,http://jobs.zhaopin.com/CC427775130J40911334515.htm,20-99人,2025-12-19 14:07:01
物流消费者体验运营-TikTok Shop,深圳,字节跳动,本科,5-10年,,4-8万,岗位职责：1、对接美国区域国际电商物流业务，深入了解消费者的物流体验痛点，建立以优化物流体验为核心的解决方案，协同运营、产品和相关治理团队，推动方案的落地，并持续推动相关业务目标的达成；2、深入了解海外市场和业务阶段，协同业务和合作伙伴，不断创新业务模式和产品方案，通过提升物流能力，提升用户转化、以及提升消费者的物流体验；3、深入分析相关数据，持续挖掘消费者体验痛点和机会，通过数据拆解、指标提升，...,互联网,http://jobs.zhaopin.com/CC469217510J40785857501.htm,10000人以上,2025-12-29 14:45:48
资深IP操盘手（获客方向）,深圳,深圳华章智慧文化传播有限公司,大专,5-10年,"心理学赛道,IP从0-1打造,全域矩阵获客",3-5万,一、薪资底薪（15-25k）+绩效+提成，综合30-50k二、作息9:00-6:00，午休1.5h，单休（每周日休息一天）岗位职责负责心理学赛道头部IP心泉在新媒体全域平台从0-1全流程操盘，包括IP定位、选题、拍摄、剪辑及发布，对IP的相关数据结果负责，比如粉丝量、播放量及获客。职位要求一、5年以上IP成功打造经验，其中3年以上知识付费类型IP打造经验，精通ip新媒体全域矩阵运营及获客。二、精通...,文化艺术/娱乐,http://jobs.zhaopin.com/CCL1486652000J40855525912.htm,20-99人,2025-12-03 11:18:42
高薪诚聘运营经理 / 合伙人,深圳,深圳构思技术服务有限公司,学历不限,1-3年,"电商运营,直播运营,亚马逊,阿里巴巴国际站,TIK TOK",3-5万,岗位职责 全面负责公司线上线下运营体系搭建，制定年度运营策略及GMV目标； 主导电商平台（亚马逊/TIkTOK等）的运营管理； 优化供应链效率，控制成本并提升产品动销率； 组建并管理运营团队，建立标准化流程；合伙人权益 深度参与公司战略规划，享有业务板块决策权； 根据业绩贡献分配股权/分红； 优秀合伙人可晋升为联合创始人。任职要求 2年以上食品/快消品行业运营经验，有0-1品牌打造案例优先； 精通...,生物工程,http://jobs.zhaopin.com/CCL1482192730J40727809216.htm,20-99人,2025-06-30 18:21:59
跨境物流B段采购Leader-TikTok Shop,深圳,字节跳动,本科,10年以上,,4-7万,岗位职责：1、在指定范围内执行日常采购活动，推动沟通计划的制定并监督其实施，制定实施策略、职责分配和时间安排；2、能够向关键领导层和管理层有效展示并传达有说服力的商业案例和商品策略；具备数字化招标（RFP）、报价（RFQ）、信息征集（RFI）标准和流程的专业知识；3、能够深入分析市场，确保价格低于或符合市场水平，并识别供应商能力差异与企业发展愿景的匹配程度；能够根据成本、质量标准和交付目标管理多家...,互联网,http://jobs.zhaopin.com/CC469217510J40782652301.htm,10000人以上,2025-11-21 11:58:32
新媒体运营发展中心负责人,深圳,广州中升凌志汽车销售服务有限公司,大专,5-10年,,4-5万,中升集团（港股代码：0881.HK）是中国领先的豪华汽车经销商集团，覆盖全国25省、运营超400家4S店，代理雷克萨斯、奔驰、宝马等20+豪华品牌，2023年营收突破2000亿元。岗位使命负责整体运营【雷克萨斯用户发展中心】构建雷克萨斯数字化用户运营生态，打造行业级新媒体营销标杆，赋能全国经销店实现品效合一增长。核心职责1. 战略统筹o 制定新媒体矩阵全域运营策略，建立内容生产-流量投放-数据监测...,汽车研发/制造,http://jobs.zhaopin.com/CC137034020J40719638810.htm,100-299人,2025-02-28 17:07:53
产品经理运营,深圳,某世界五百强央企银行,本科,3-5年,"用户增长,活动策划,联名卡",2.5-4.5万,岗位职责：1、负责规划设计联名信用卡产品的申卡、用卡产品流程，及时迭代产品功能提升用户体验；2、负责联名卡信用卡产品活动运营，分析产品数据表现，持续优化活动方案，提升信用卡获客转化率，对获客指标负责；3、负责信用卡产品/活动的同业调研，敏锐识别用户需求，提出产品的优化方案；4、协调内外部资源，管理并推进项目落地；5、完成上级领导布置的其他相关工作。任职要求：1、工作背景、经验、年限：3年以上工作经...,互联网,http://jobs.zhaopin.com/CCL1318355140J40831175003.htm,500-999人,2025-12-30 01:06:10
FBT行业运营专家-TikTok Shop,深圳,字节跳动,本科,5-10年,,4-7万,岗位职责：1、精准筛选并与目标商家建联，清晰阐述FBT的优势与价值、解决潜在障碍、打消顾虑，成功说服商家加入FBT；2、深度参与商家日常运营，包括但不限于日常问询、月度总结、库存规划、协助入仓、解决账单问题等，有效指导商家解决问题；3、持续总结商家反馈、输出商家洞察，做好根因分析，从而找出商家需求与当前业务/产品能力的差距，提出高质量的产品/业务解决方案需求、推动实现；4、通过与商家建立、维系互信...,互联网,http://jobs.zhaopin.com/CC469217510J40756690601.htm,10000人以上,2025-10-23 18:11:00
运营负责人（三方支付）,深圳,永亿(广州)网络科技有限公司,本科,5-10年,"产品运营,销售运营,支付产品",2.5-4.5万·13薪,岗位职责： 1、拟定公司的运营战略、部门的年度工作计划；审核制定运营组织体系及流程制度；指导管理制度执行与规范并监督制度落实情况；指导部门的管理工作及人员规划。2、统筹安排各业务内部运营环节的计划、组织、监督、管理、优化全过程。包括：系统参数配置、交易路由管理、新老业务需求上线推进和实现。3、指导各项业务账务核对、渠道回款及成本核对、资金清结算管理、差错管理、系统账务管理及报表编制和分析，确保资金...,企业服务,http://jobs.zhaopin.com/CCL1471427700J40802623803.htm,500-999人,2025-07-10 00:00:01
产品运营/互联网拓展【央企银行+信用卡】,深圳,某世界五百强央企银行,本科,3-5年,"活动策划,消费金融,分期",2.5-4.5万,岗位职责：1、负责面向互联网平台，信用卡获客/分期/贷款业务合作的拓展工作，结合合作伙伴需求设计业务、产品流程;2、负责市场/行业/竞品的调研分析，输出研究报告，据此制定业务、产品的发展规划;3、负责所辖产品/渠道的用户洞察，识别用户需求，提出业务、产品的优化方案:4、负责协调内外部资源，管理并推进项目落地;5、完成上级领导布置的其他相关工作。任职要求：1、工作背景、经验、年限：3年以上金融/互联...,互联网,http://jobs.zhaopin.com/CCL1318355140J40836519403.htm,500-999人,2025-12-13 01:06:14
印尼物流运营专家-TikTok Shop,深圳,字节跳动,本科,5-10年,,4.5-6.5万,岗位职责：1、推动在印度尼西亚的物流业务部署，与当地物流行业主要参与者建立合作关系；2、开展市场和行业研究，制定运营计划以解决问题，并在必要时规避市场或政策变化带来的风险；3、管理日常运营，跟踪绩效指标和团队改进情况；4、确保程序和规定得到执行，不断提高运营效率、服务质量和消费者满意度等关键指标；5、与相关合作方（当地和区域团队）合作，推出新服务并实施相关物流解决方案。任职要求：1、本科或以上学历...,互联网,http://jobs.zhaopin.com/CC469217510J40757783601.htm,10000人以上,2025-11-24 12:29:02
运营经理/主管,深圳,东莞市至拙电器科技有限公司,本科,10年以上,"电商运营,社群运营,数据运营,亚马逊,walmart,WAYFAIR,toC",2-4万,岗位职责:1、根据市场特征和业务目标，制订跨境电商平台营销策略，优化运营流程，建立完善的线上运营体系；2、带领团队制定并实现销售目标，制定平台全年运营规划及各类营销推广策略，监督指导各项营销活动执行与优化；3、熟悉平台运营规则，统计分析运营数据、善于根据产品的销售与排名变化，制定和调整产品的销售策略；4、负责运营团队建设和日常管理工作，优化业务流程，合理配置人力资源。岗位要求:1、本科及以上学历，...,耐用消费品,http://jobs.zhaopin.com/CC859003860J40819107011.htm,100-299人,2026-01-11 00:05:21
游戏系统策划,深圳,尼尔林技术咨询(深圳)有限公司,本科,3-5年,游戏系统策划,2-4万,职位描述为在研SLG产品系统进行高质量的设计：1、玩法设计：对游戏中后期玩法设计有一定的理解和经验，能够根据项目的特点和用户定位，设计出满足不同层级用户的玩法内容，对用户形成较长期的吸引力，并使项目获得相应收益；2、功能跟进：以简明、逻辑清晰的方式撰写文档，与程序、美术部门沟通，跟进完成系统的制作；3、数据分析：对自己设计的功能进行效果预估，根据统计数据进行效果分析，对下一步迭代提出清晰的结论；4...,咨询服务,http://jobs.zhaopin.com/CC328908510J40752244812.htm,20-99人,2026-01-08 01:30:53
平台物流商家解决方案经理-TikTok Shop,深圳,字节跳动,本科,5-10年,,3-6万,岗位职责：1、制定并实施物流策略，以提高服务效率、提升美区TikTok Shop店铺卖家的物流体验；2、与跨职能团队协作，包括产品和开发团队，以改善系统能力，并确保物流线上产品流程和客户需求的对齐；3、监控和分析物流操作的关键绩效指标（KPI），识别改进领域，提出完整的解决方案，并执行落地；4、关注行业趋势、法规及最佳实践，推动现有业务模式的持续升级。任职要求：1、5年以上跨境电商及海外本地电商物...,互联网,http://jobs.zhaopin.com/CC469217510J40818819001.htm,10000人以上,2026-01-06 14:29:03
深圳外企综合管理,深圳,上海祝君臻人力资源有限公司,本科,1-3年,"团队管理,早九晚5",2-4万·14薪,任职要求：1、年龄要求28-48周岁，男女不限2、本科学历及以上（学信网可查）3、在深圳本地有两年以上工作经验岗位职责：1、穿戴整齐干净2、部门对接工作，监督业绩考核3、组织公司内部会议，做好会议记录并跟进执行情况。4、协助制定公司规章制度，推动行政制度落地执行。5、性格外向，吃苦耐劳；职业素养良好，领悟力强；擅沟通协调。工作时间：9:00-17:00 周末双休 法定节假日休,人力资源服务,http://jobs.zhaopin.com/CCL1501921150J40810267201.htm,1000-9999人,2025-12-01 10:22:34
游戏主美,深圳,尼尔林技术咨询(深圳)有限公司,学历不限,5-10年,,3-4万,岗位内容：1. 制定并执行游戏/动画项目的整体美术策略，确保项目达到高水平的美术品质要求2. 参与游戏/动画的概念设计、创意构思及视觉呈现，为产品营造出独特的高质感艺术风格3. 对于美术产品的市场趋势、流行文化有着敏锐的洞察力，能够根据市场情况做出科学判断和决策任职要求：1. 具备丰富的2D/3D美术设计经验，有成功的游戏/动画作品案例和经历2. 具备扎实的美术基础与审美能力，对色彩、结构、材质、...,咨询服务,http://jobs.zhaopin.com/CC328908510J40864864412.htm,20-99人,2025-12-30 17:10:42
东南亚快递网络规划专家-TikTok Shop,深圳,字节跳动,本科,5-10年,,4-6万,岗位职责：1、快递产能分析评估1）推动服务商在快递核心节点（区域分拣中心、中转场、末端网点/驿站/自提柜）的选址、投建、产能等做科学布局规划，输出“分拣中心+中转场+末端网点”快递网络架构方案，保障运力及产能；2）结合快递业务特性，联合服务商设计干线运输路由与末端配送路径，明确运力模式，及日常及大促的运力需求；3）与服务商联合制定快递网络资源配置标准（如分拣中心自动化设备容量、中转场装卸货位数量、...,互联网,http://jobs.zhaopin.com/CC469217510J40804505401.htm,10000人以上,2025-12-31 15:54:29
运营经理（前海基地）D2503,深圳,香港中文大学深圳研究院,本科,5-10年,"众创空间,孵化器,创新创业平台运营",2-4万,职位概述：负责前海基地的运营管理及创业项目孵化相关工作，包括但不限于孵化空间场地的管理、维护；孵化企业和团队服务与管理、政府对接及资源整合，投融资机构的对接等。 入职要求： 1．学历：本科或以上学历，金融或管理类专业优先考虑。 2．工作经验：8年（含）以上相关工作经验；有众创空间、孵化器/加速器等运营管理或项目管理相关经验者优先考虑。 3．素质和技能： a.了解国家和各级政府关于创新创业平台和高新...,政府/公共事业,http://jobs.zhaopin.com/CC224678420J40708576006.htm,100-299人,2025-11-27 10:38:19
运营管理,深圳,中美联泰大都会人寿保险有限公司广东分公司,本科,3-5年,"销售运营,商家运营,活动运营,运营管理",2-4万·24薪,Metlife是美国最大的寿险公司，世界五百强【任职要求】1、本科以上学历，学信网可查2、熟悉公司管理制度，有团队管理经验优先3、有过销售经验或者管理过销售团队优先4、具备较强的沟通、资源协调能力，有团队协作精神5、工作细致、认真，责任心强，有坚强的逻辑分析能力，执行力强6、年纪需要26-50岁以内【福利待遇】1、高额奖金+综合补贴，年均24薪2、面试定档不同级别的人才专案，年薪从十二万到五十多万...,保险,http://jobs.zhaopin.com/CC391102020J40823062714.htm,10000人以上,2025-11-19 07:23:32
成本管理专家（国际物流价格）-国际电商,深圳,字节跳动,本科,5-10年,,2.5-5万,岗位职责：1、收集和整合行行业及商家需求，基于本地市场、行业调研，完成端到端的物流解决方案设计，项目进度的推进和项目的GTM上线；2、负责商家运营，持续优化商家发货流程、揽收质量和日常问题解决，提高商家体验和满意度；3、支持平台大促相关准备工作，协同内外部团队，帮助商家备货和物流产能储备，确保大促成功。任职要求：1、本科及以上学历，具备3年以上国际物流运营工作经验，供应链物流运营商家体验领域或相关...,互联网,http://jobs.zhaopin.com/CC469217510J40738022701.htm,10000人以上,2025-05-23 14:29:14
运营管理,深圳,深圳市志茂实业有限公司,本科,5-10年,运营管理,3-4万,1.负责组织实施公司制定的计划管理体系。2.协助总经理，根据公司的年度经营计划，组织制定项目年度经营计划。3.负责监督各部门制定年度、月度部门工作计划，并定期收集部门工作总结报告。4.统筹检查、监督、反馈公司年度经营计划及项目宏观计划、项目开发主项计划的执行情况，并收集计划考核数据。5.组织公司年度经营管理会议、项目协调会议，并负责会议纪要的发放、会议决议的跟踪工作。6.负责公司及项目成果的跟踪管...,咨询服务,http://jobs.zhaopin.com/CC875124650J40964712604.htm,20-99人,2025-11-14 16:40:23
独立站运营经理,深圳,深圳市彩为珍科技有限公司,本科,5-10年,"电商运营,独立站运营",2-4万,岗位职责：1.全面负责品牌独立站运营，制定并执行整体运营战略与增长计划；2.结合公司战略目标，制定定价策略、营销策略及推广方案，推动销量与利润持续增长；3.带领团队优化站点运营、用户体验与转化率，提升品牌在全球市场的影响力：4.负责跨部门协作，整合资源，推动新市场开拓（欧美、拉美、东南亚等）：5.建立并完善独立站运营体系，推动公司从“0-1”后的快速发展跨越。岗位要求：1.本科及以上学历，具有欧美...,贸易/进出口,http://jobs.zhaopin.com/CCL1495332750J40964834804.htm,100-299人,2025-11-08 10:22:26
干线运营专家-TikTok Shop,深圳,字节跳动,本科,5-10年,,2.5-4.5万,岗位职责：1、负责跨境空运干线物流履约流程SOP制定和干线物流商管理；2、负责线路时效、成本及体验相关指标，搭建运营体系，跟踪日常运营数据，跟进日常运营事项（排舱、交接、异常处理、舱位调整、对帐），协调物流商资源确保各项运营指标平稳持续提升；3、根据业务不同阶段的履约问题，能推动相关部门对物流履约问题进行专项优化，协同各相关部门提升跨境物流履约体验；4、跨部门沟通协调，在运营过程中积极提出流程及产...,互联网,http://jobs.zhaopin.com/CC469217510J40815324901.htm,10000人以上,2025-12-29 14:46:24
流程规划,深圳,富联裕展科技(深圳)有限公司,本科,5-10年,"IPD,LCT,ISC",2-4万,岗位职责：1.负责运营/支持流程体系搭建，主导并推动完善流程梳理、诊断、优化实施工作；2.赋能业务部门流程执行/优化等专业方法和工具，提升Owner流程管理能力；3.定期开展流程需求调研和成熟度/满意度/流程绩效评估，依结果开展专项流程诊断；4.统筹运营/支持流程管理相关知识、方法和工具的赋能培训。工作经历及能力要求：1. 熟悉流程管理相关的规范、方法和工具，能够独立开展各级流程的优化和落地；2....,人工智能,http://jobs.zhaopin.com/CCL1393497680J40795387409.htm,10000人以上,2025-10-10 11:26:15
独立站运营经理,深圳,深圳市彩为珍科技有限公司,本科,5-10年,电商运营,2-4万,岗位职责：1. 全面负责品牌独立站运营，制定并执行整体运营战略与增长计划；2. 结合公司战略目标，制定定价策略、营销策略及推广方案，推动销量与利润持续增长；3. 带领团队优化站点运营、用户体验与转化率，提升品牌在全球市场的影响力；4. 负责跨部门协作，整合资源，推动新市场开拓（欧美、拉美、东南亚等）；5. 建立并完善独立站运营体系，推动公司从“0-1”后的快速发展跨越。岗位要求：1. 本科及以上学...,贸易/进出口,http://jobs.zhaopin.com/CCL1495332750J40956232904.htm,100-299人,2025-09-29 18:10:44
物流采购供应商合规管理专家-TikTok Shop,深圳,字节跳动,本科,5-10年,,2.5-4万,岗位职责：1、国际物流招标采购、供应商体系搭建及管理、采购策略制定及采购项目管理；2、构建服务商的等级分类和审核机制，组织各方对服务商管理体系（成本、及时率、质量、稳定性等）进行评审，对服务商精细化管理并持续优化；3、依据年度及季度预算目标，执行计划与监控机制，推动招标采购团队各项指标达成；4、盘点招标采购业务流程，对于缺陷业务流进行干预，提升业务开展效率，不断推进产品化和线上化；5、提升业务操作...,互联网,http://jobs.zhaopin.com/CC469217510J40805482301.htm,10000人以上,2025-12-15 16:34:24
技术美术（模拟经营类游戏）,深圳,深圳华章智慧文化传播有限公司,本科,5-10年,"模拟经营类游戏,MMORPG类型游戏的从业背景,UNITY开发高质量人物或场景,精通SHADER语言",2.5-4万,投递简历时请附带相关作品，谢谢！一、薪酬与福利1、薪资open底薪+绩效，综合薪资25-40K。2、入职购买五险一金。3、法定节假日正常休息。4、带薪年假。5、旅游/团建。二、作息时间1、上班时间9:00-6:00，中午休息1.5小时。2、法定节假日正常休息。3、单双休。三、工作氛围 1、团队年轻、踏实、结果导向。2、扁平化的管理方式氛围宽松/开放/有爱/互助人际关系简单。四、企业文化谦逊、责任、...,文化艺术/娱乐,http://jobs.zhaopin.com/CCL1486652000J40714932912.htm,20-99人,2025-02-24 00:00:00
兼职运营,深圳,深圳市远近模特经纪有限公司,学历不限,经验不限,小红书,100-200元/时,小红书/抖音/快手等平台内容发布【岗位内容】根据公司提供的素材，在平台发布帖子并后台回复私信，文案图文会提供。在家办公，工作期间不需要到公司来。【薪资】日结兼职，每发布一条笔记，或者后台私信有目标客户咨询推微信过来，都有薪资结算。,广播/影视,http://jobs.zhaopin.com/CC468449720J40797751401.htm,100-299人,2025-12-25 11:26:49
跨境物流东南亚运营专家-TikTok Shop,深圳,字节跳动,本科,5-10年,,2.5-4万,岗位职责：1、参与制定跨境物流东南亚区域正逆向解决方案，负责跨境端到端物流履约流程SOP制定和物流商管理；2、负责履约线路成本、时效及体验相关指标，搭建运营体系，跟踪日常运营数据，跟进日常运营事项，协调内外部资源确保各项运营指标平稳持续提升；3、根据业务不同阶段的履约问题，推动相关部门进行专项优化，协同各相关部门提升跨境物流履约体验；4、跨部门沟通协调，在运营过程中积极提出流程及产品相关的改善点，...,互联网,http://jobs.zhaopin.com/CC469217510J40793489701.htm,10000人以上,2025-11-12 19:30:05
孵化器运营高级经理（国际科创）,深圳,港大青年科创(深圳)有限公司,硕士,5-10年,,2.5-3.5万,职位描述：1. 负责国际科创项目的整体运营与管理，搭建并维护与国际合作伙伴的沟通桥梁，推动跨境技术转移与合作。具体职责包括但不限于：策划并执行国际科创活动，吸引海外优质项目落地；协调内外部资源，为入驻企业提供全方位的孵化服务；跟踪国际科技前沿动态，为学院战略决策提供有力支持。2. 负责建立国际科创培训服务体系，结合国际科创项目的特点与需求，设计并开发具有针对性的培训课程与项目，涵盖技术创新、商业管...,社团/组织/社会保障,http://jobs.zhaopin.com/CCL1498740140J40978858104.htm,20人以下,2026-01-09 00:00:01
高级运营经理（养老险/年金险方向）,深圳,某大厂旗下控股子公司,本科,3-5年,"活动运营,门店运营,toC,养老保险",2.5-3.5万·16薪,岗位职责：1、根据业务目标制定并执行运营计划与节奏，对所负责的保险品类的业绩达成负责；2、基于各阶段目标和需求，提炼产品卖点，优化产品转化链路，提升品类转化效率；3、能够洞察并提炼用户需求，识别用户转化中的卡点及问题，制定线上或者人工辅助的解决方案；4、积极探索在养老产品转化中外部合作机会，跟进行业趋势，寻找业务增长机会。岗位要求：1、本科以上学历，3年以上互联网运营经验，具备电商/广告/保险/金...,互联网,http://jobs.zhaopin.com/CCL1318355140J40834110203.htm,500-999人,2026-01-07 01:07:53
TikTok运营经理/主管(J10101),深圳,重庆麦一科技有限公司,本科,3-5年,"电商运营,新媒体运营",2.5-3.5万,岗位职责: 1.制定品牌在TikTok平台上的整体运营战略，确保与公司业务目标和品牌价值相一致； 2.负责TikTok北美的销售运营工作，包含小店销售运营、直播策划、推广引流、内容策划等方向； 3.负责TikTok运营团队的搭建以及管理工作，有效把控团队工作效率，推动高质量项目； 4.深入了解TikTok平台的规则和算法，对海外市场文化和用户行为有深刻理解。 任职要求: 1.本科以上学历，英语/国...,电子商务,http://jobs.zhaopin.com/CC883272980J40910040808.htm,300-499人,2026-01-05 18:25:35
电商运营经理（成都工作）,深圳,千禾味业,本科,1-3年,"电商运营,淘宝,京东",3-3.5万·13薪,"注意：办公地在成都！岗位职责：1、负责天猫系（包括天猫旗舰店、天猫超市），或京东系（包括京东超市、京东旗舰店）运维。2、目标制定：负责板块业务的目标制定；根据公司战略目标、年度规划，完成线上全渠道销售目标的制定、拆解。（包括销售目标、其他经营指标等）3、业务管理：带领团队完成电商业务目标；负责制定合理的、有效的店铺运营策略及运营方案,完成公司下达的销售任务和利润指标；4、团队管理：根据目标进行团队...",快速消费品,http://jobs.zhaopin.com/CC339677710J40853200413.htm,1000-9999人,2026-01-04 10:47:15
955-中层管理岗-双休,深圳,中美联泰大都会人寿保险有限公司江苏分公司,本科,3-5年,"产品运营,用户运营,数据运营",2.8-3.5万·13薪,任职要求:1.学历学信网可查2.熟悉公司管理制度，有一定管理经验优先3.思维敏捷，有良好的分析能力和问题解决能力，积极推动业务发展4.负责公司所属营业部机构的大客户资源的收集，整理和管理工作5.良好的跨部门沟通协作能力6.协助上下级之间传达事务，并进行适当的沟通和协调7.工作细致，工作细心，认真、责任心强、逻辑分析能力及执行力强8、工作朝九晚五双休，偶尔加班不多，不出差任职要求：1、本科学历及以上...,保险,http://jobs.zhaopin.com/CC140883570J40808229003.htm,10000人以上,2026-01-04 09:44:11
运营支持经理,深圳,深圳市卓越物业管理有限责任公司,本科,5-10年,"物业运营,项目运营,品质管理,品质督导",2-3.5万·14薪,岗位职责：1、牵头制定华南大区项目运营管理标准、服务流程（含企业客户入驻对接、设施设备运维、商户运营协同、会务服务等）及考核体系，定期更新运营操作手册；2、针对现有运营体系中的痛点（如跨项目资源调度不畅、服务响应效率低等）提出优化方案并推动落地，确保运营体系适配不同类型商企物业项目（企业总部大楼项目、写字楼、产业园、商业综合体）的差异化需求。3、监督各项目运营体系执行情况，开展合规性与标准化检查，...,物业管理,http://jobs.zhaopin.com/CC133097290J40818616209.htm,10000人以上,2025-12-11 14:30:38
运营经理,深圳,熵数科技(深圳)有限公司,本科,3-5年,"社群运营,toC",2-3.5万,一、岗位职责1、制定 APP 全生命周期推广策略，规划从 0 到 1 冷启动及后续增长方案，完成用户拉新、留存、促活目标2、开拓并维护应用商店、社交媒体、信息流广告等核心推广渠道，优化投放策略，提升下载转化率3、策划并执行裂变活动、KOL 合作、异业联动等营销活动，打造爆款传播事件4、监控推广数据（CPI、ROI 等），分析用户行为，及时调整优化推广方案5、协同产品、设计、技术等部门，确保推广素材...,人工智能,http://jobs.zhaopin.com/CCL1495978530J40823113110.htm,20人以下,2025-11-24 11:34:21
招商运营主管（大湾区事业部）(J12890),深圳,深圳联粤房地产开发有限公司,本科,3-5年,"房地产开发,招商",2-3.5万,岗位职责:1、负责商业项目整体招商工作，对商业物业的功能定位、规划布局、业态组合、宣传推广、招商租赁等方面进行统筹。2、掌握客户资源及市场动向，进行客户需求分析，评估主力商家入驻可能性，完成业态规划、品牌落位规划等招商筹备工作。3、制定并完成招商目标，定期分析经营数据，诊断问题并及时提出商业业态调整方案。4、负责对接招商团队开展工作，制定相关考核指标，主导前期各项招商准备工作。任职要求:1、本科以...,房地产开发,http://jobs.zhaopin.com/CCL1288731200J40805216611.htm,10000人以上,2025-11-13 16:29:49
区域运营经理（广东）(J10036),深圳,深圳诗普琳珠宝有限公司,本科,3-5年,"销售运营,产品运营,门店运营,增长产品,珠宝产品,商业化产品,toC,销售管理,货品管理,人员管理",2-3.5万,岗位职责:1.利用本行业工作经验管辖区域门店销售业绩达成与各项指标任务完成；2.负责区域门店日常运营管理，优化门店运营工作流程，确保门店平稳健康发展；3.完成区域团队人员优化汰换，激励及人才梯队建设；4.区域经营成本有效控制；5.负责区域内外联关系的维护，密切关注市场信息，并对其进行收集整理分析，寻找并有效整合拓展资源；任职要求:1.有3年及以上珠宝行业工作经验；2.具有优秀的沟通和谈判技巧，责任...,零售/批发,http://jobs.zhaopin.com/CC213889830J40803966001.htm,1000-9999人,2025-11-05 10:55:06
运营管理经理,深圳,刷薪记录,大专,经验不限,"新媒体运营,销售运营,产品运营",2.2-3.5万,岗位内容：1. 管理公司的日常运营，包括财务、人力资源和项目管理等方面。2. 策划和实施流程和政策以确保高效率和生产力。3. 分析数据以识别商业机会和优化业务流程。4. 管理员工绩效和培训计划，以提高整体绩效。5. 协调不同部门之间的合作以确保公司目标的实现。任职要求：1. 具有相关管理、商业或类似领域的学士；2. 三到五年运营经理经验；3. 出色的沟通和协调能力；4. 能够快速适应变化并在压力下...,咨询服务,http://jobs.zhaopin.com/CC623260320J40836198912.htm,300-499人,2025-09-30 18:30:00
产业运营高级经理（企业服务方向）,深圳,中国广核集团有限公司,本科,3-5年,房地产运营,2-3万,岗位职责：1.客户关系管理：建立客户档案，定期拜访客户，了解客户需求和意见，及时解决客户问题，提高客户满意度和忠诚度，组织客户满意度调查，根据调查结果优化服务流程和内容。2.运营服务提升：整合园区内外的资源，包括金融、技术、人才、市场等，提供企业增值服务，促进园区内企业之间的合作与交流，组织产业对接会、技术交流会等活动，推动产业协同发展。3.运营报告撰写：负责收集和分析园区的运营数据，包括企业入驻...,互联网,http://jobs.zhaopin.com/CCL1318355140J40858419903.htm,500-999人,2026-01-10 01:07:31
游戏数值策划,深圳,尼尔林技术咨询(深圳)有限公司,学历不限,5-10年,游戏数值策划,1.5-3万,岗位内容：1. 负责slg游戏的数值体系搭建，保障数值的合理性和平衡性；2. 与美术、程序等团队密切协作，确保游戏开发质量；3. 持续分析市场趋势和用户反馈，为游戏产品更新迭代提供建议和改进方案；4. 参与游戏测试，不断优化游戏体验。任职要求：1. 3年以上游戏数值策划经验，有成功游戏案例者优先-参加过slg类型的游戏数值策划工作；2. 熟悉游戏对经济循环、战斗机制等数值设计要点；3. 具备分享和...,咨询服务,http://jobs.zhaopin.com/CC328908510J40851442812.htm,20-99人,2026-01-09 01:33:37
