职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
化学研发部门经理,杭州,京新药业,硕士,5-10年,,4-5万·14薪,1、负责项目选题调研和立项，负责项目选题、立项调研，立项资料撰写和立项评审的组织，评估讨论，并最终立项。2、负责项目开发：负责组建项目组，项目目标的制定以及项目组工作安排；对项目进行技术指导，并解决项目中遇到的技术问题。3、负责项目管理：负责按照项目计划书确定的目标对项目进行管理，协调多方资源，保障项目按计划实施。4、负责部门和跨部门沟通：负责解决项目进展过程中部门内部或部门间的沟通工作。5、负责...,医药制造,http://jobs.zhaopin.com/CC120018550J40730930002.htm,1000-9999人,2026-01-06 01:02:38
研发经理（充电桩）,杭州,上海音特电子有限公司,本科,5-10年,充电桩方向,3-5万,岗位职责1. 了解充电桩国内外市场发展趋势、相关政策、用户核心需求，思考行业发展趋势，完成业务模式的提炼和设计，规划充电桩软件平台发展路线图；2. 高质量的输出PRD及交互、原型设计，并与能源云端研发团队、IOT中台团队及桩端产品研发团队紧密合作，最终确保产品高质量的交付；3. 撰写产品工具包，对能源运营、销售、售后团队等进行产品培训；4. 负责充电桩行业动态监控、市场趋势分析、竞品分析，形成竞品...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC239732510J40664704604.htm,20-99人,2025-12-26 01:07:35
Mac前端工程师,杭州,桑万(上海)人工智能科技有限公司,本科,3-5年,"JavaScript,CSS,Mac OS,OBJECTIVEC",3-5万,统招本科，学信网可查岗位职责1. 核心应用开发：作为核心成员，负责Mac桌面端应用的设计、开发与迭代，将产品愿景转化为高质量、高性能的本地应用。2. 复杂界面实现：与产品、设计团队紧密协作，实现高品质的界面布局，确保用户体验的流畅性与美学质感，对标业界顶尖产品。3. 优先架构：主导或参与构建以“隐私保护”为核心的本地数据处理架构，包括本地文件智能索引、多渠道信息源（录音、文档、网页剪藏等）的采集与...,计算机软件,http://jobs.zhaopin.com/CC538835130J40844329903.htm,100-299人,2025-10-07 22:01:51
R&D Local Unit Lead,杭州,ABB,本科,经验不限,嵌入式硬件开发,面议,"Reporting to:R&D Department LeadYour role and responsibilities (Mandatory)In this role, you will have the opportunity to lead and represent Research and Development (R&D) operations to achieve the agr...",仪器仪表制造,http://jobs.zhaopin.com/CC000018800J40838336402.htm,10000人以上,2026-01-11 01:02:29
技术研发部总监/经理（水生态）,杭州,浙江绿凯生态环境集团股份有限公司,硕士,5-10年,"河道治理,工程施工,水生态",2-4万,一、岗位职责：1、 部门管理：对部门目标负责，统筹编制部门年度规划，为公司所规定的部门职能目标负责，负责部门内日常管理工作，负责管理和培训下属团队；2、技术创新：负责公司技术创新、技术支持等工作，3、 目标/计划管理:设计编制工艺流程、项目进度，编制技术方案、图纸等；4、 公共关系管理: 与公司、社会、政府、行业等相关单位及机构进行技术交流、接洽及经营；5、完成领导交办的其他工作。岗位要求：1、 ...,环保,http://jobs.zhaopin.com/CC465367010J40744976007.htm,100-299人,2025-09-02 15:48:35
Python，C#，C，Java，测试，开发，运维，数分都有！,杭州,外企德科数字技术有限公司,本科,经验不限,"Python,C++,Mybatis,Shiro,Spring,MySQL,MongoDB,NoSQL,Java,PHP,JavaScript",2-3.5万·14薪,岗位职责：1、面向ICT领域端、管、云场景，负责大数据平台和AI平台关键技术研发工作，打造安全、可信、高性能的大数据和AI底座，支撑华为在ICT领域持续领先。 2、负责大数据平台和AI平台子模块的特性设计、开发、调试以及功能验证工作，实现关键竞争力在一系列产品解决方案的应用落地。 3、负责大数据和AI先进技术联创，构建业界领先竞争力。 任职要求： 1、热爱编程，基础扎实，熟悉掌握但不限于JAVA/...,专业技术服务,http://jobs.zhaopin.com/CCL1480117890J40834007205.htm,10000人以上,2026-01-12 00:26:52
资深研发项目经理,杭州,智联猎头,本科,5-10年,,1.8-3.5万,岗位职责：1、负责新型超快激光器产品从研发到量产的全过程管理2、领导光学、机械、电子等跨职能团队完成项目目标3、协调生产、质量、市场等部门，确保产品顺利产业化4、管控项目进度、成本和质量，识别并解决技术风险任职要求1、本科及以上学历，光学、物理、机械电子等相关专业2、5年以上高端装备/精密仪器研发项目管理经验3、熟悉硬件产品开发流程，有激光器行业经验者优先4、具备出色的跨部门协调能力和项目推动力5...,互联网,http://jobs.zhaopin.com/CCL1318355140J40867475403.htm,10000人以上,2026-01-09 01:07:14
研发经理,杭州,杭州固恒能源科技有限公司,本科,5-10年,"C语言,Java,Python,嵌入式硬件开发,单片机开发",2.5-3.5万·13薪,岗位职责：1、负责制定研发部门战略规划和年度工作计划，确保研发方向与公司业务目标一致。2、领导并监督研发团队，推进技术创新和新产品研发，持续提升产品竞争力。3、建立和优化研发流程与管理体系，提高团队工作效率和项目管理水平。4、管理研发项目，包括项目规划、进度控制、资源分配及成果评估，确保项目按时高质量完成。5、建立和维护跨部门沟通机制，确保研发成果的有效转化。6、关注行业动态和技术趋势，培养团队成...,仪器仪表制造,http://jobs.zhaopin.com/CC572286620J40779143414.htm,20-99人,2026-01-06 01:37:43
软件开发工程师（15k-40k+双休）,杭州,外企德科数字技术有限公司,本科,经验不限,"C++,PHP,Python,MySQL",1.8-3.5万·16薪,职位描述在这里，你将从事IT应用层软件、分布式云化软件、互联网软件等的设计开发，可以采用敏捷、Devops、开源等先进的软件设计开发模式，接触最前沿的产品和软件技术，成为大容量高并发技术的专家；你将参与产品的软件研发工作，包括但不限于：（1）完成从客户需求到软件产品定义、架构设计、开发实现、再到上线运营维护等产品生命周期中的各个环节；（2）创造性解决产品在实现过程中的技术难题，应用前沿技术提升产品...,专业技术服务,http://jobs.zhaopin.com/CCL1480117890J40681939705.htm,10000人以上,2026-01-12 00:24:21
软件研发经理,杭州,浙江保融科技股份有限公司,本科,10年以上,"研发管理,Java,TOB",2.8-3.5万·14薪,职位概述：负责领导和管理开发团队，确保项目的成功交付。您将与跨职能团队合作，制定技术策略、规划和执行大型产品开发项目，并负责团队绩效和项目进度的监控。这个角色需要对软件开发过程和技术趋势有深入的理解，同时具备卓越的领导和团队管理能力。岗位职责：1、领导和管理团队：负责招聘、培养和管理研发团队，制定团队目标。2、技术策略规划：制定软件开发的技术战略和路线图，确保与公司业务目标的一致性。3、项目管理：...,计算机软件,http://jobs.zhaopin.com/CC451832010J40906998808.htm,1000-9999人,2025-12-26 01:21:46
研发经理,杭州,杭州融至兴科技有限公司,本科,3-5年,"Java,Go,后端开发,网络安全,数据安全",2-3.5万,岗位描述：1. 主导安全产品的规划、设计、研发工作，对研发迭代质量负责；2. 解决开发中的技术攻关、架构设计、技术实现，负责现有安全产品代码的维护、性能优化与安全加固；3. 建立、优化并推行高效的研发流程体系（如敏捷开发、代码规范、Code Review、CI/CD等），提升团队研发效率与质量；4. 主导技术选型、架构设计与关键技术难题攻关，确保系统的高性能、高可靠性和安全性，深入研究网络安全领域...,计算机软件,http://jobs.zhaopin.com/CC720578280J40803766802.htm,100-299人,2025-08-28 14:33:53
web前端开发工程师,杭州,外企德科,本科,3-5年,"电商项目,React",2-3万·15薪,1. 负责B类电⼦商务⽹站前端开发⼯作，与PD、UED、Java ⼯程师协作，完成设计交互实现、数据交互、动态信息展现；2. 关注⽤户体验，与合作⽅⼀起不断改进产品的易⽤性；3. 结合业务特点创新应⽤前端技术解决前端团队开发过程中⾯临的各类问题，提升整个前端团队开发效能；4. 研究和探索创新的开发思路和新的前端技术。1. 本科以上计算机相关专业，3年以上前端开发经验；2. 熟悉 Web 前端技术，...,人力资源服务,http://jobs.zhaopin.com/CC138117190J40828813305.htm,10000人以上,2026-01-12 00:26:40
初级前端开发工程师 应届生可投/14薪/全额社保公积金,杭州,外企德科数字技术有限公司,本科,经验不限,前端,1.5-3万·14薪,岗位职责 : 承担Web前端模块设计，开发工作，对进度负责。 对公司产品提出用户界面和体验方面的合理建议。 与UI设计和后台开发人员配合，高效高质的完成功能。 参与数据可视化基础类库的研发，提供高质量的可视化能力支撑。 参与团队前端工程化体系建设，逐步提升研发效率、研发质量，通过前端技术的不断产出驱动业务的发展。 岗位要求 熟悉web前端技术，如html5、css3、JavaScript、es6～...,专业技术服务,http://jobs.zhaopin.com/CCL1480117890J40653099905.htm,10000人以上,2026-01-12 00:24:20
web3d资深开发工程师—光合泰智（杭州）科技有限公司,杭州,杭州市人才市场开发有限公司,本科,3-5年,"WebGL,Three.js",1.5-3万,光合智能成立于2025年2月，是一家致力于用人工智能技术解决人工智能基础设施的可持续发展问题的高科技公司，我们的愿景是让每一瓦特能源值得每一比特数据。 光合智能拥有多项全球顶尖的Physical AI技术， 如全球第一个面向物理学驱动的算力中心数字模型、全球第一个面向算力中心的多模态大模型、全球第一个算力中心专用分钟级高效CFD计算流体力学系统、全球第一个整合能源“源网荷储”管理能力的算力中心动态...,互联网,http://jobs.zhaopin.com/CCL1318355140J40868959403.htm,500-999人,2026-01-09 16:58:25
前端-大厂od(双休餐补年终）,杭州,外企德科,本科,3-5年,React,2-3万,1. 负责B类电⼦商务⽹站前端开发⼯作，与PD、UED、Java ⼯程师协作，完成设计交互实现、数据交互、动态信息展现；2. 关注⽤户体验，与合作⽅⼀起不断改进产品的易⽤性；3. 结合业务特点创新应⽤前端技术解决前端团队开发过程中⾯临的各类问题，提升整个前端团队开发效能；4. 研究和探索创新的开发思路和新的前端技术。1. 本科以上计算机相关专业，3年以上前端开发经验；2. 熟悉 Web 前端技术，...,人力资源服务,http://jobs.zhaopin.com/CC138117190J40829388905.htm,10000人以上,2026-01-12 00:13:02
