职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
电力交易工程师,南京,福州盘桓轩信息科技有限公司,本科,5-10年,电气工程,4-6万,电力交易工程师（全栈）职位描述：1、负责VPP和电力交易产品的业务需求分析与系统详细设计工作；2、参与VPP和电力交易产品的中长期规划，研究业务和技术发展方向，分析客户需求和竞品能力，发掘和定义产品的核心竞争力，打造人无我有、人有我优的VPP和电力交易产品；3、指导开发团队落地系统详细设计方案，确保产品最终实现和设计方案保持一致；4、配合研发Team Leader管理好研发过程，推进系统架构的持续...,互联网,http://jobs.zhaopin.com/CCL1371080860J40907531208.htm,20-99人,2025-12-20 10:50:38
电力系统分析工程师,南京,南京阿贝斯信息科技有限公司,本科,经验不限,"MATLAB,EMTDC,RTDS,电网工程,输变电工程,电力系统,电力设计",2.5-5万,岗位职责:1、 熟练使用PSCAD/EMTDC（或RTDS、RTLAB）等电磁暂态仿真工具进行电力电子器件建模、计算分析。 2、 熟悉电力系统、微电网、配电网系统及仿真，能够使用RTDS系统以及MATLAB/Simulink、PSCAD/EMTDC等电力专用仿真软件进行建模；进行直流、风电、储能、微网等电力电子设备建模。3、 基于电磁暂态仿真平台搭建、调试交直流电网模型； 4、 进行各类电网、新能...,计算机软件,http://jobs.zhaopin.com/CC651807920J40852769915.htm,20-99人,2025-07-02 00:00:03
储能技术经理,南京,江苏苏美达集团有限公司,本科,3-5年,电力设计,3-5万,岗位职责：1.负责储能产品的售前咨询、方案制定、售中技术支持及售后问题处理；2.协助市场开发部的前端开发工作，编制储能投标的技术方案、成本测算及价格方案； 3.配合业务开发完成与客户的技术交流、标书方案讲解等工作，提供技术支持；任职要求：1.电气工程、自动化、储能技术、新能源等相关专业，本科及以上学历；2.3年以上储能或新能源行业系统集成经验；3.了解工商业储能系统架构、关键技术、应用场景及主流厂...,贸易/进出口,http://jobs.zhaopin.com/CC131549440J40769185913.htm,10000人以上,2025-06-04 18:50:22
电气建模仿真工程师,南京,思源电气,本科,3-5年,"电磁仿真,电力电子,构网,电网",2.5-4.5万·15薪,岗位职责：1、承担基于PSCAD或digsilent的微电网建模仿真工作；2、承担基于digsilent的构网设备建模和维护工作；任职要求：1、熟练运用DIGSILENT开展构网设备建模；2、3年以上工作经验；电力系统及其自动化专业本科以上,电气机械/电力设备,http://jobs.zhaopin.com/CC000635070J40815345511.htm,1000-9999人,2026-01-11 00:16:00
电控工程师,南京,南京英田光学工程股份有限公司,硕士,3-5年,"单片机,伺服电机,电控软件开发,电控硬件开发,伺服系统,电控调试,电控技术支持,步进系统",4-4.5万,"岗位职责： 1、负责空间激光通信捕获跟瞄机构的研发,瞄准、指向、跟踪PAT技术的研究； 2、包含电控系统设计、转动机构、电机驱动控制、跟瞄算法等； 3、负责产品的控制系统开发； 4、参与产品开发设计,就控制系统提供可行性方案； 5、负责产片的装配与调试,包括控制机柜的安装、现场调试； 6、配合项目组进行项目运作； 7、负责与客户沟通,随时更新客户需求信息,并向客户汇报项目状况； 9、负责向客户提供...",仪器仪表制造,http://jobs.zhaopin.com/CC180868110J40275315104.htm,100-299人,2025-12-03 09:33:09
电气工程师主管,南京,南京恒标斯瑞冷冻机械制造有限公司,本科,3-5年,"控制柜,变频器,控制器,设计,安装/调试",2.8-4万,岗位职责：1.关注行业的技术发展动态，根据实际市场情况，进行技术产品规划；2.按照《设计开发控制程序》完成新产品设计、元器件选型、系统控制逻辑编程设计、样机逻辑测试、验证和交付。3.参与新产品设计过程中的控制改进和优化。4.负责标准系列产品的电气配置和控制程序等改进和优化工作。5.负责日常订单项目的元器件选型、电气原理图和布局图绘制、电气BOM制作、程序编写，以及电气生产工艺指导文件。6.完成上级...,电气机械/电力设备,http://jobs.zhaopin.com/CC361294410J40813968814.htm,100-299人,2026-01-09 11:36:58
资深伺服控制工程师,南京,连云港杰瑞电子有限公司,硕士,5-10年,"设计,研发",2.5-4万·14薪,1、负责伺服产品线的规划，产品线的迭代升级和生命周期管理；2、跟踪电力电子、电机与控制等先进技术发展趋势，制定伺服产品预研项目规划和技术平台规划；3、参与需求调研，开展竞品分析，深入洞察客户需求，持续推进产品优化；4、参与伺服驱动器软硬件开发工作，提供技术支持与指导；5、管理研发团队，协调跨部门资源，确保项目顺利推进，推动技术创新。任职条件：1、电气、电力电子、自动化等相关专业，硕士及以上学历；2...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC272132510J40876647404.htm,500-999人,2026-01-04 14:40:23
电机控制算法工程师,南京,埃斯顿,硕士,经验不限,"电机控制,伺服软件,FOC",2.5-4万,岗位职责:1、 负责永磁同步电机控制算法的开发，完成所需算法研究、模型仿真、功能设计、软件编写调试等工作；2、 参与伺服软件整体方案设计及软件架构设计；3、 协助测试工程师制定算法测试计划及说明文档，完成测试工作；4、 产品在响应、振动抑制、速度波动等性能方面的技术攻关；5、 新的控制技术研究。任职要求:1、硕士及以上学历，自动化、机电一体化、电气传动、自动控制等相关专业； 2、3年以上伺服类产品...,仪器仪表制造,http://jobs.zhaopin.com/CC243960110J40903912808.htm,1000-9999人,2025-12-02 11:21:39
电气工程师,南京,江苏赛弘通能源科技有限公司,本科,经验不限,"维修/保养,安装/调试,测试",2-4万,岗位内容： 1. 负责电气系统和设备的设计、测试、验证和维护工作。2. 根据市场需求或客户要求，制定电气方面的产品开发计划和需求分析。3. 参与协调各部门间的工作，满足公司的业务目标。4. 解决现场所涉及的电气问题和提供售后技术支持。任职要求： 1. 电气工程或相关专业背景，有相关工作经验者优先。2. 熟悉电气原理图设计软件，如Protel、OrCAD等。3. 熟悉多种数字信号处理、嵌入式软件开发...,电子商务,http://jobs.zhaopin.com/CCL1504692960J40969612804.htm,1000-9999人,2025-11-27 09:35:09
电气研发工程师,南京,江苏辰特动力有限公司,本科,5-10年,"设计,测试,安装/调试,自动化设计,电力设计,电路设计",2-4万,1.承担公司产品电气设计，参与全过程研制，包括电气图纸绘制、部件选型、样机试制、产品测试和试验，完成产品生产和调试，并能够解决和处理有关故障问题。完成技术文件编制，指导产品生产和装备。2.承担公司产品研发的硬件工作，独立完成硬件方案设计、电路实现及产品定型。3.承担原电气产品的性能改进及技术升级、参与相关电源产品标准的制定。任职资格：1. 至少5年大功率高频逆变电源开发、电气设计经验（重点要求）。...,电气机械/电力设备,http://jobs.zhaopin.com/CC466503980J40808120307.htm,20-99人,2025-11-11 08:53:39
伺服总线工程师,南京,埃斯顿,硕士,3-5年,"ETHERCAT,CANOPEN,PROFINET,ETHERNET IP,伺服总线系统",2-4万,1.伺服总线系统设计与开发（1）负责伺服相关的工业总线产品的软件设计以及代码编写；（2）负责总线协议栈的标准化，总线产品的平台化开发任务和公司平台标准化制定；2.故障排查与技术支持（1）负责伺服产品总线系统的故障排查与修复；（2）负责为生产现场、售后团队提供技术支持，编写故障排查手册、开展技术培训、协助解决客户在设备使用中遇到的总线相关问题。3.文档编写与技术沉淀负责整理伺服总线系统的技术文档，包...,仪器仪表制造,http://jobs.zhaopin.com/CC243960110J40901844508.htm,1000-9999人,2025-11-21 14:22:39
自动化工程师,南京,江苏赛弘通能源科技有限公司,本科,3-5年,"安装/调试,设计,电气设计,自动化设计,机械设计",2-4万,岗位职责：- 负责自动化设备和系统的设计、编程、调试及优化- 参与自动化项目的执行，确保项目按时完成并满足技术要求- 对现有生产线进行自动化改造，提高生产效率- 支持和解决生产过程中的自动化技术问题岗位要求：- 自动化、机电一体化等相关专业毕业- 熟悉自动化设备及相关软件的使用- 具备良好的项目管理和问题解决能力- 有团队合作精神，能适应快节奏的工作环境,电子商务,http://jobs.zhaopin.com/CCL1504692960J40967523504.htm,1000-9999人,2025-11-18 16:37:17
电气工艺高级工程师,南京,德力股份,大专,10年以上,"设计,测试,安装/调试,自动化设计,PLC设计,电路设计",2-4万,岗位职责：1、负责集团及各子公司设备资产全面管理，包括设备选型、采购、安装、维护、调拨、报废等全流程管理；2、制定设备检修、更新改造计划，编制技术规程及管理制度，合理控制维修成本，确保设备运行可靠性。3、负责机械技术领域人员的培训；推进技术攻关，自主研发或引入新技术提升效率。4、操作文件、制度及培训文件的编制，建立技术档案，包括图纸、操作规程、检修记录等，确保数据完整可追溯，同时推进电子化档案系统...,金属制品业,http://jobs.zhaopin.com/CC398866820J40855632002.htm,1000-9999人,2025-11-10 16:10:36
电驱动产品研发工程师,南京,法雷奥照明湖北技术中心有限公司,本科,5-10年,"设计,研发,硬件研发,电驱动方案设计,软件研发,电控,技术项目管理",2-4万·14薪,本岗位负责主驱电机控制器产品- 作为研发窗口与客户沟通互动，梳理客户的技术需求，分解安排到相关工程师团队，并完成相应的技术设计；- 领导（系统、结构、硬件、软件PM、软件设计、开发质量、工程、标定）等工程师对一切技术相关及痛点问题负责处理，确保开发技术质量，满足客户要求；- 统筹产品立项和可行性分析、开发、测试，验证，试产到量产的整个过程，分配资源、控制进度，协调处理项目各方遇到的问题，满足客户质...,汽车研发/制造,http://jobs.zhaopin.com/CC201447320J40805869207.htm,10000人以上,2025-11-04 00:00:01
工业机械机电设备开发主管（博士）,南京,江苏绿森工程科技有限公司,博士,无经验,"设计,博士",2.5-4万,任职要求：1、博士学历，机械设计、机电一体化、机械工程及自动化、动力工程等相关专业；2、熟练应用机械设计常用设计软件，至少包括AutoCAD、Solidworks；工作职责：1、牵头工业产品开发；2、设备智能化改造方案设计：运行状态监测方案、健康状态监测方案、故障预警系统方案；3、设备使用说明书、安装说明、运维手册、采购技术规范等技术文件编写；,房地产开发,http://jobs.zhaopin.com/CC478369680J40792663501.htm,100-299人,2025-09-26 10:00:48
