职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间
资深投顾,郑州,平安证券,本科,经验不限,,2-4万·14薪,1、上线并运营自己的投顾产品，促客户签约。 2、完成公司下达的业绩。 要求至少有3年证券从业经验，具备投顾资格和基金资格。,证券/期货,http://jobs.zhaopin.com/CC318148910J40764485304.htm,1000-9999人,2026-01-06 01:07:52
产品经理（矿压数据分析）,郑州,郑州恒达智控科技股份有限公司,本科,5-10年,,2.5-4万,岗位职责：1. 深入了解矿山矿压专业知识和相关标准、法规，熟悉当前可用技术和发展趋势，识别和发现可在矿山中增值的矿压新技术、新方法；2. 根据用户需求开展矿压类或安全类项目合作，完成现场调研、需求分析、技术路线和技术方案制定、项目过程管理、结项，并编制各阶段的技术文档；3. 具有一定的矿压类数据或安全类数据分析经验，参与过矿压类或安监类产品的现场实施；4. 与团队成员充分合作，解决工作中遇到的各种...,仪器仪表制造,http://jobs.zhaopin.com/CC471530730J40701361110.htm,500-999人,2025-04-24 00:05:03
高级统计师(J10022),郑州,联邦制药,硕士,5-10年,"生物统计,生物类似药,创新药,生物统计分析,II/III期项目,SAP和SAR撰写或审核,SAS软件",2-3.5万·13薪,岗位职责:负责临床试验统计分析相关工作，包括参与临床试验方案统计相关内容的设计，随机化方案、编盲及统计分析相关文件审核（必要时对统计分析结果进行校验），参与统计分析服务供应商的筛选和评估等。任职要求:1、 学历：硕士及以上；2、 专业：医学统计；3、 英语：国家六级及以上，文献检索和阅读能力；4、 工作经验：具有6年及以上的各期创新药临床试验统计分析工作经验，参与过多个I-III各期临床试验统计分...,医药制造,http://jobs.zhaopin.com/CC290231730J40759536107.htm,10000人以上,2025-12-17 01:16:12
急招！！底薪1-3w +高提成 财经直播讲师,郑州,河南圆梦科技有限公司,本科,5-10年,"股票市场,债券市场,基金市场,市场环境,投资分析,宏观经济分析",1.5-3万,一、岗位职责1、按照公司要求完成股票、家庭资产配置等金融理财投资方向的线上授课教学，对理财直播课程负责。2、与课程顾问团队合作，能够根据用户数据反馈，及时调整直播思路，及时响应用户需求。3、参与直播内容的迭代，能够提炼用户需求，优化直播内容，提升用户满意度；4、不推荐个股，合规直播，不涉及灰色地带，私域平台直播。二、任职要求1、本科学历，具备证券从业资格证投资顾问证。证券公司工作满 2 年，如果有...,在线教育,http://jobs.zhaopin.com/CCL1514259090J40868759203.htm,100-299人,2026-01-11 01:06:53
投资顾问,郑州,银泰证券,本科,3-5年,"股票市场,债券市场,基金市场,风险分析,宏观经济分析,基本面分析,证券从业资格证,证券投资咨询资格证",1.5-3万,有证券从业资格，及投顾资格。从业经验丰富，对市场有一定判断力和研究能力，积极乐观，业务能力强、沟通能力佳。有相关资源者优先；无不良记录。,证券/期货,http://jobs.zhaopin.com/CC146883160J40853728103.htm,1000-9999人,2025-12-31 01:07:13
数据分析师,郑州,北京合众伟奇科技股份有限公司,硕士,5-10年,"Python,BI工具,SPSS",1.5-2.5万,岗位职责：1、 与项目及产品团队紧密合作，理解客户业务背景与需求，挖掘算法应用需求，进行可行性评估并形成解决方案；2、 以数据挖掘和数据分析为基础，运用机器学习、深度学习等相关技术，进行数据处理和分析，建立算法模型；3、 应用回归、聚类、时序等算法完成电力能源/工业制造行业数据挖掘分析及模型研究开发工作，例如用电特性分析、工作排程、路径规划、库存预测、智能配送等；4、 参与项目研发、客户交流过程中...,计算机软件,http://jobs.zhaopin.com/CC468463280J40818259515.htm,1000-9999人,2025-10-14 14:28:43
双休 投资顾问,郑州,郑州奥莱德企业管理咨询有限公司,本科,1-3年,"股票市场,投资分析,基本面分析,技术面分析,风险分析,证券从业资格证,证券投资咨询资格证",1.2-2.4万,接受外地办公 居家办公任职条件:1、本科及以上学历或取得硕士及以上学位，优先录用财经、金融类及相近专业人员;2、有责任心，能承受较强的工作压力，有较强的营销、组织协调和沟通能力，具备较强的风险和创新意识;3、熟练掌握各类线上运营工具，对互联网发展模式有较强的商业洞察，有2年以上金融或互联网行业相关工作从业经验;4、必须通过证券从业资格考试;有投资顾问或分析师资格者，有个人的投资逻辑者优先考虑;5、...,企业服务,http://jobs.zhaopin.com/CCL1481323930J40820275811.htm,20-99人,2026-01-12 09:26:01
顺丰经营分析岗,郑州,顺丰速运,本科,3-5年,"数学/统计学专业,管理咨询工作经验,经营数据分析",1.2-2.4万·14薪,"【定位】监控执行、归因分析、决策支持【岗位职责】①地区经营诊断分析体系建设：紧跟内外部变化，强化外部及未来视角，围绕""经营方向""，构建地区经营诊断分析体系及工具（职能、网点、协同组织等），为地区提供重要经营指引；②经营诊断分析闭环：结合地区经营结果，完成月度经营分析报告（包括经营概览、重点事项的月度评价、地区目前面临的共性及个性问题等），为地区下一步的经营战略提出指引。【能力要求】①业务理解与洞察...",货运/物流/仓储,http://jobs.zhaopin.com/CC131486150J40798149514.htm,10000人以上,2026-01-08 11:00:22
数据运营岗（市场类）,郑州,中电数据产业集团有限公司,本科,3-5年,"智慧城市,数据要素",1.3-2.2万,岗位职责1、根据公司发展战略，发掘市场机会、KA客户和资源渠道，推动实现数据规模化交易和应用。2、整合政府、企业、数据资源，达成数据交易额目标。3、负责客户运营和渠道运营，并完成联络、跟进、签约、回款工作。4、承接本地数据资源拓展、数据应用洽谈，跟踪行业政策形势、法律法规、技 术进展、市场应用，建设数据应用场景库。5、完成上级领导安排的其他工作，并为公司经营发展提供可行性建议。任职要求1、了解区域...,云计算/大数据,http://jobs.zhaopin.com/CCL1485595580J40760461111.htm,20-99人,2025-10-31 10:49:45
双休 投顾引流讲师,郑州,郑州奥莱德企业管理咨询有限公司,本科,1-3年,"投资分析,股票市场,技术分析,证券投资咨询资格证,证券从业资格证",1.2-2.4万,任职条件:1、本科及以上学历，优先录用财经、金融类及相近专业人员;2、有责任心，能承受较强的工作压力，有较强的营销、组织协调和沟通能力，具备较强的风险和创新意识;3、熟练掌握各类线上运营工具，对互联网发展模式有较强的商业洞察，有2年以上金融或互联网行业相关工作从业经验;4、必须通过证券从业资格考试;有投资顾问或分析师资格者，有个人的投资逻辑者优先考虑;5、具有良好的职业道德，无违法违纪记录，不属于...,企业服务,http://jobs.zhaopin.com/CCL1481323930J40820275711.htm,20-99人,2026-01-12 09:25:58
财经讲师 月薪1-3W,郑州,河南圆梦科技有限公司,本科,1-3年,"证券从业资格证,投资顾问证",1-2万,一、岗位职责1、按照公司要求完成股票、家庭资产配置等金融理财投资方向的线上授课教学，对理财直播课程负责。2、与课程顾问团队合作，能够根据用户数据反馈，及时调整直播思路，及时响应用户需求。3、参与直播内容的迭代，能够提炼用户需求，优化直播内容，提升用户满意度。4、不推荐个股，合规直播，不涉及灰色地带，私域平台直播。二、任职要求1、本科学历，具备证券从业资格证，投资顾问证。证券公司工作满2年，如果有头...,在线教育,http://jobs.zhaopin.com/CCL1514259090J40868469903.htm,100-299人,2026-01-08 09:45:54
精准客户分析与策略制定,郑州,山东督王府家居集团有限公司,大专,经验不限,餐饮招商加盟,1-2万,1、销售数据分析与洞察-对销售团队的日常数据进行深度挖掘与分析，包括业绩达成、客户转化、邀约到厂结果等，形成定期分析报告。-通过数据发现销售过程中的问题与机会，为销售策略调整提供数据支持。2、客户数据管理与策略制定-陪同销售团队梳理客户数据，分析客户画像、行为及需求，协助制定客户分级与跟进策略。-基于客户数据分析，优化后期客户邀约及谈判策略，提升转化效率。3、营销任务管理与方案落地-协助营销团队进...,家具/家居/家电,http://jobs.zhaopin.com/CCL1469075660J40867864603.htm,500-999人,2026-01-06 10:02:02
高薪金融证券投资顾问,郑州,郑州奥莱德企业管理咨询有限公司,本科,1-3年,"证券从业资格证,基金从业资格证",1.5-2万,此岗位需持证上岗 讲师岗 可居家办公 证券从业资格证 证券投资咨询资格证优先 问职前请了解清楚 需有私域直播经验优先 有引流直播经验优先。 岗位职责: 1. 负责金融证券投资咨询服务，为客户提供专业建议 2. 分析市场动态，制定投资策略，优化投资组合 3. 与客户建立并维护良好的合作关系，提供个性化服务方案 任职要求： 1. 具备金融证券投资相关经验，对市场有深刻理解 2. 优秀的沟通能力，能够准...,企业服务,http://jobs.zhaopin.com/CCL1481323930J40820277011.htm,20-99人,2026-01-12 09:27:15
证券讲师,郑州,河南圆梦科技有限公司,本科,1-3年,"股票市场,投资分析,证券从业资格证",1-2万,月薪10-30K起讲课大纲 内容 公司提供全日制本科证从满两年有投顾资格,在线教育,http://jobs.zhaopin.com/CCL1514259090J40866390803.htm,100-299人,2026-01-07 01:07:28
A股短线操盘手（广西南宁）,郑州,广西极犇资本有限公司,本科,1-3年,"股票市场,投资分析,基本面分析,量化分析,Python,证券市场",1-2万,岗位职责 1、管理和运作公司内部自有资金账户，负责公司账户的交易，达到获利的目标。 2、有效进行风险控制，解决交易中的问题，确保交易账户达到稳定盈利。 3、分析行情，做出每日交易计划。 4、定期对操作进行总结，不断完善交易系统。 5、定期进行课题数据分析，不断完善交易系统。 岗位要求 1、精准识别并A股二级交易市场中的强势领涨品种，把握核心主升趋势。 2、对市场热点、资金流向、板块轮动有高度敏感性...,证券/期货,http://jobs.zhaopin.com/CCL1386522980J40298175610.htm,20人以下,2026-01-06 01:26:15
高薪投资顾问,郑州,郑州奥莱德企业管理咨询有限公司,大专,1-3年,"投资分析,证券从业资格证,证券投资咨询资格证",1.5-2万,此岗位需持证上岗 讲师岗 证券从业资格证 证券投资咨询资格证优先 问职前请了解清楚 有私域直播经验优先 有引流直播经验优先。 岗位职责: 1. 有自己的交易体系，有自己的见解和分析 2. 分析市场动态，制定投资策略，优化投资组合 3. 与客户建立并维护良好的合作关系，提供个性化服务方案 任职要求： 1. 具备金融证券投资相关经验，对市场有深刻理解 2. 优秀的沟通能力，能够准确把握客户需求 3. ...,企业服务,http://jobs.zhaopin.com/CCL1481323930J40820275611.htm,20-99人,2026-01-12 09:25:56
电邀数据运营经理（驻厂南京/苏州/青岛/济宁）,郑州,山东督王府家居集团有限公司,大专,经验不限,"销售数据运营,电销团队管理,电邀团队管理",1-2万,1、销售数据分析与洞察-对销售团队的日常数据进行深度挖掘与分析，包括业绩达成、客户转化、邀约到厂结果等，形成定期分析报告。-通过数据发现销售过程中的问题与机会，为销售策略调整提供数据支持。2、客户数据管理与策略制定-陪同销售团队梳理客户数据，分析客户画像、行为及需求，协助制定客户分级与跟进策略。-基于客户数据分析，优化后期客户邀约及谈判策略，提升转化效率。3、营销任务管理与方案落地-协助营销团队进...,家具/家居/家电,http://jobs.zhaopin.com/CCL1469075660J40867709403.htm,500-999人,2026-01-05 15:09:03
客户分析经理(J10928),郑州,上海海天医药科技开发有限公司,本科,3-5年,连锁客户分析,1.4-2万·13薪,岗位职责: 1.构建 OTC 市场客户数据管理体系，建立完善的客户数据库； 2.运用数据分析工具和方法，对不同类型客户进行客户行为与需求分析，为活动推广、销售等市场策略制定提供数据支持； 3.负责建立、维护和深化与 OTC 市场核心客户的长期合作关系，定期进行客户拜访，了解客户需求与经营状况，洞察客户问题与诉求并制定可行性方案； 4.领导安排的其他工作。 任职要求: 1.统计学、市场营销、数据分析...,医药制造,http://jobs.zhaopin.com/CC130848610J40778214316.htm,1000-9999人,2025-12-03 11:19:22
证券投资顾问讲师,郑州,郑州奥莱德企业管理咨询有限公司,本科,1-3年,"股票市场,基金市场,市场环境,宏观经济分析,技术面分析,证券从业资格证,证券投资咨询资格证",1-2万,我们正在寻找一位专业证券分析师，负责为公司提供高质量的证券研究和投资建议。工作内容：1. 对上市公司进行深入研究，包括财务分析、行业前景等；2. 跟踪市场动态，撰写研究报告；3. 为公司提供投资策略和推荐。岗位要求：4. 金融、经济等相关专业本科及以上学历（优秀者可放宽学历要求）5. 具有证券从业资格/投资顾问证6. 2年以上证券分析工作经验；7. 优秀的研究和报告撰写能力；8. 良好的沟通能力和...,企业服务,http://jobs.zhaopin.com/CCL1481323930J40819351911.htm,20-99人,2026-01-09 01:31:18
电邀数据运营经理（驻厂南京/苏州/青岛/济宁）,郑州,山东督王府家居集团有限公司,大专,经验不限,"销售数据运营,电销团队管理,电邀团队管理",1-2万,1、销售数据分析与洞察-对销售团队的日常数据进行深度挖掘与分析，包括业绩达成、客户转化、邀约到厂结果等，形成定期分析报告。-通过数据发现销售过程中的问题与机会，为销售策略调整提供数据支持。2、客户数据管理与策略制定-陪同销售团队梳理客户数据，分析客户画像、行为及需求，协助制定客户分级与跟进策略。-基于客户数据分析，优化后期客户邀约及谈判策略，提升转化效率。3、营销任务管理与方案落地-协助营销团队进...,家具/家居/家电,http://jobs.zhaopin.com/CCL1469075660J40867708403.htm,500-999人,2026-01-05 15:08:56
经营分析专家,郑州,河南采桑子科技有限公司,本科,3-5年,"英语可作为工作语言,电商类产品,平台类产品",1.5-2万,岗位职责：1、基于dropshipping行业的业务增长要素，构建经营分析的指标体系，监控经营效果，输出异动解读报告，支持业务快速调整策略。2、从用户分层、供应商协同、成本结构等维度识别增长机会，输出策略方案并推动落地。3、针对订单履约异常、成本超支等问题进行根因分析，提出改进措施。4、关注行业动态和竞争对手策略，为业务提供差异化建议。5、协助制定业务目标（如GMV、毛利率等），监控目标达成情况，...,电子商务,http://jobs.zhaopin.com/CCL1353337870J40806289609.htm,300-499人,2025-11-06 13:40:53
高薪诚聘证券投资顾问,郑州,郑州奥莱德企业管理咨询有限公司,本科,1-3年,"股票市场,基金市场,市场环境,宏观经济分析,技术面分析,证券从业资格证,证券投资咨询资格证",1-2万,我们正在寻找一位专业证券分析师，负责为公司提供高质量的证券研究和投资建议。工作内容：1. 对上市公司进行深入研究，包括财务分析、行业前景等；2. 跟踪市场动态，撰写研究报告；3. 为公司提供投资策略和推荐。岗位要求：4. 金融、经济等相关专业本科及以上学历（优秀者可放宽学历要求）5. 具有证券从业资格/投资顾问证6. 2年以上证券分析工作经验；7. 优秀的研究和报告撰写能力；8. 良好的沟通能力和...,企业服务,http://jobs.zhaopin.com/CCL1481323930J40819351411.htm,20-99人,2026-01-07 09:07:13
商品总监,郑州,河南摩欧商贸有限公司,大专,5-10年,"数据分析,销售业务数据",1.5-2万,1、负责公司大盘货品前期导入、分配、落地； 2、负责商品部门日常管理工作； 3、负责货品流各环节的规划、控制及改进； 4、定期提供货品整体运作报告。 任职要求： 1、大专及以上学历； 2、服装行业同岗位5年以上工作经验（快时尚男装商品负责人工作经历者优先）； 3、薪资面议。,耐用消费品,http://jobs.zhaopin.com/CC285230630J40603126814.htm,100-299人,2025-04-22 00:34:40
经营管培生（产品核算方向主管）,郑州,牧原股份,本科,无经验,"商业分析,运营",1.1-1.8万,注：由于岗位比较核心，前期需要在河南总部进行培养岗位职责：1. 全生命周期产品核算：负责猪肉产品（标准品、非标品、订制品、衍生品）的标准制定、成本核算、价格核定及边角料价值管理，确保产品全周期利润最大化；2. 价值发现与定价：负责部分小产品定价，通过精细核算与市场分析，让产品实现更高价值；3. 经营决策深度支撑：核算体重段毛差、白条成本、最优分割结构、产品结构等核心业务场景，为运营经理提供精准的数...,农/林/牧/渔,http://jobs.zhaopin.com/CC495147320J40819599011.htm,10000人以上,2026-01-07 22:51:54
证券投资顾问,郑州,郑州奥莱德企业管理咨询有限公司,本科,1-3年,证券投资咨询资格证,1-1.8万,岗位内容：(1)向客户推介公司证券投资顾问服务品牌及产品，提高公司证券投资顾问业务知名度和产品销售业绩;向客户提供证券及金融相关产品的投资建议，实现客户资产保值增值;(2)推动公司证券投资顾问产品的创新，设计与研发出切实符合客户需求的投资顾问产品及服务;(3)高净值客户开发、维护及挽留工作，为营销活动提供专业支持;(4)协助部门完成公司所安排的工作目标。岗位要求:(1)本科及以上学历，金融等相关专...,企业服务,http://jobs.zhaopin.com/CCL1481323930J40820275511.htm,20-99人,2026-01-12 09:25:51
大数据分析工程师,郑州,郑州万特电气股份有限公司,硕士,1-3年,大数据分析工程师,1.5-1.8万,岗位职责1、协同产品团队，理解客户业务核心需求，挖掘大数据分析算法在业务场景中的应用潜力，完成可行性评估并输出专业解决方案。2、对接多源业务系统，设计数据采集方案，完成大规模数据清洗、整合，构建标准化处理流程，保障数据准确性与可用性。3、结合业务需求制定数据分析框架与技术路线，明确分析目标、方法及输出标准，确保分析工作高效落地并支撑业务决策。4、针对业务场景，设计并落地统计分析、机器学习或深度学习...,仪器仪表制造,http://jobs.zhaopin.com/CC142539960J40806540111.htm,300-499人,2025-12-30 12:03:10
数据中台负责人,郑州,河南拓达信息科技有限公司,大专,3-5年,"销售数据运营,商业数据分析",1.3-1.8万,工作地点：郑州东区凯利国际中心 岗位职责：结合行业发展趋势、公司发展规划与业务需求，全面统筹公司运营团队管理工作【全局视角】深刻理解业务目标和关键影响因素，结合内外部对标，沉淀业务发展关键认知，并制定具体落地策略，协同各方资源，促进业务目标达成；【绩效管理】基于美团绩效考核策略，结合公司各城市现状，输出差异化的绩效考核方案，负责绩效方案设计、目标设定、目标拆解、方案宣导、结果核算、分析复盘、迭代优...,在线生活服务（O2O）,http://jobs.zhaopin.com/CC843747440J40865342603.htm,1000-9999人,2025-12-22 16:07:33
产销协调岗（销售数据）,郑州,白象食品,本科,5-10年,销售数据分析,1.2-1.8万,岗位职责:1.承担公司数据平台的日常运维工作。2.负责公司数据订单需求、需求计划、仓储库存相关内容的搭建工作。3.负责公司报表与看板的开发工作。4.负责公司的数据治理工作，将线下报表迁移至系统，并保障数据的准确性、及时性与稳定性。任职要求:1.数据资产分析与管理：日常监控公司数据平台，保障稳定运行，及时处理故障；优化平台性能，提升数据处理与存储效率；落实安全管理，防范数据泄露与非法访问。2.数据体...,快速消费品,http://jobs.zhaopin.com/CC534207120J40901132515.htm,1000-9999人,2025-12-15 14:49:24
数据分析主管,郑州,金风科技股份有限公司,本科,5-10年,"Sql,Python,BI工具,数据分析",9000-18000元·14薪,岗位职责: 1、全面负责数据组的日常管理、工作分配、项目协调工作。 2、负责数据团队的人才梯队建设，打造高效、协作、学习型的团队文化，定期组织培训，提高团队的整体业务水平。 3、负责数据团队的业务架构搭建，包含但不限于指标分析、预警管理、设备评估等。 4、负责数字化专项治理工作，结合业务场景出具切实可行的数字化治理方案。 5、负责组织数据组的周会议、项目会议的召开，确保数据组各项事宜稳步推进。 6...,电气机械/电力设备,http://jobs.zhaopin.com/CC138718430J40812432014.htm,10000人以上,2025-11-26 16:30:44
大数据分析工程师,郑州,嵩山实验室,硕士,经验不限,"数据建模,Python",1.5-1.7万,岗位职责：1.负责开展现网环境下，复杂大数据查询模式设计与应用；2.负责搭建维护实验用大数据分析系统。任职要求：1.硕士及以上学历，计算机科学与技术、软件工程等相关专业；2.熟悉Hadoop，Elasticsearch，mongodb，duckdb，ClickHouse等一种或多种大数据分析引擎与数据库；3.熟练掌握python语言，拥有机器学习，深度学习经验者优先。,网络/信息安全,http://jobs.zhaopin.com/CCL1390391680J40740554607.htm,100-299人,2025-05-28 16:43:00
数据分析师（双休+五险）,郑州,河南仑业工业自动化设备有限公司,本科,3-5年,"数据治理,数据挖掘,数据建模,Sql,BI工具,Tableau,Power BI,FineBI,excel",8000-16000元,岗位职责1、整合公司全链条（研发、生产、销售、财务等）数据，搭建核心指标体系与数据看板。2、独立开展专项分析，针对运营、产品、财务、供应链等业务问题提供数据洞察与建议。3、定期向管理层及各部门负责人输出数据分析报告，支撑战略决策与业务优化。4、推动数据驱动的文化，协同各部门落实分析建议，提升业务效率。任职要求1、本科及以上学历，数学、统计学、计算机、信息管理、经济学、金融学等相关专业优先。2、3年...,电气机械/电力设备,http://jobs.zhaopin.com/CC574832980J40781039516.htm,100-299人,2025-12-29 14:40:49
项目管培生（数据分析方向+名校团队),郑州,赛优教育,本科,经验不限,"SQL,MySQL,使用场景分析,数据分析,TO C",1-1.5万,【岗位内容】：1、深入一线，充分理解业务运营sop。能提炼出sop运营框架、关键指标，持续为业务运营提效赋能2、了解公司各产品的基本功能，能根据业务场景，选择合适的产品辅助业务，并将业务需求转化成合理的产品需求3、理解数仓、数据报表搭建的基本原理，快速理解并响应业务数据需求，准确、高效率的完成需求4、将产品、运营、数据知识，融入AI，搭建内部问答库，辅助业务更高效的利用产品产品数据功能，提升业务效...,培训/辅导服务,http://jobs.zhaopin.com/CC681311420J40911342415.htm,1000-9999人,2026-01-12 01:42:16
数据分析师【主管/经理】+无工作压力+教育公司,郑州,郑州载望升学教育科技有限公司,本科,3-5年,,1-1.5万,岗位职责：！！！清洗数据能力 ， 围绕教育业务需求制定数据规则；从0-1梳理项目数据支持业务经营提效。1.深入理解业务流程，搭建业务数据BI看板，识别业务目标与数据相关性，为业务决策提供数据支持;2、持续跟踪增长业务数据，监控业务发展态势为业务指标异常提供预警、监控、解读；3、通过分析用户行为、流量路径等，搭建分析模型，挖掘可优化点，建立有效的商业分析方法、提出业务优化策略、产出专题分析报告；4、...,在线教育,http://jobs.zhaopin.com/CCL1488543550J40914705215.htm,300-499人,2026-01-08 11:35:08
大数据分析师/双休/五险一金,郑州,河南觉颁科技有限公司,大专,经验不限,Python,9000-15000元,岗位内容：1. 分析和挖掘大量的数据源，为业务发展和决策提供支持。2. 负责开发、维护和优化各类数据仓库和数据报表，保证数据质量和准确性。3. 与业务团队紧密合作，深入了解业务需求，提供全面的数据分析解决方案。4. 执行并监督指标和KPI体系，跟踪业务进展和成效。任职要求：1. 具备统计学、数学、计算机科学或相关领域的专科科及以上学历，2. 精通SQL语言和常用的数据分析工具和平台，如Excel、...,计算机软件,http://jobs.zhaopin.com/CCL1512550140J40744514206.htm,20-99人,2026-01-05 11:28:15
FineReport报表工程师,郑州,杭州中美华东制药有限公司,本科,1-3年,"FineBI,Tableau,Python,Oracle,MySQL,Kettle",面议,1、负责帆软FineReport报表开发，能够基于帆软报表进行二次开发，有帆软移动端开发经验；2、根据项目需求，进行数据可视化开发；3、对相关数据进行梳理、分析，搭建相关业务数据分析体系。4. 运用帆软报表进行BI报表的开发与维护；5、负责数据平台的性能分析与系统优化。技能要求：1、独立使用过帆软FineReport开发（必备），能够基于帆软报表进行二次开发，有帆软移动端开发经验；3. 使用过帆软...,医药制造,http://jobs.zhaopin.com/CC198426920J40817526710.htm,10000人以上,2025-12-20 01:29:18
数据运营管培生（五险一金+高管直带）,郑州,赛优教育,本科,1年以下,市场数据分析,1-1.5万,【岗位内容】：1、深入一线，充分理解业务运营sop。能提炼出sop运营框架、关键指标，持续为业务运营提效赋能2、了解公司各产品的基本功能，能根据业务场景，选择合适的产品辅助业务，并将业务需求转化成合理的产品需求3、理解数仓、数据报表搭建的基本原理，快速理解并响应业务数据需求，准确、高效率的完成需求4、将产品、运营、数据知识，融入AI，搭建内部问答库，辅助业务更高效的利用产品产品数据功能，提升业务效...,培训/辅导服务,http://jobs.zhaopin.com/CC681311420J40911343015.htm,1000-9999人,2025-12-19 14:31:04
业务分析师（营销领域）,郑州,安图生物,本科,5-10年,"CRM,产品经理",1-1.5万,岗位职责:1.负责营销数字化闭环体系建设工作。2.负责营销流程的梳理、规划、监控与改进。3.负责承接营销领域业务需求管理，设计业务流程和解决方案。4.负责营销领域相关项目的推进和管理。5.负责营销领域数据治理体系的建设与优化。6.负责提供营销领域流程管理的方法及工具，及对业务部门流程管理人员的能力培养。任职要求:1.本科及以上学历，计算机、信息技术、信息管理、软件工程、工业工程等相关专业。2.具备...,医药制造,http://jobs.zhaopin.com/CC224773320J40784786105.htm,1000-9999人,2025-12-17 13:58:30
数据分析师（双休-教培大厂-六险一金）,郑州,北京高途云集教育科技有限公司,硕士,1-3年,"Sql,数据建模,数据挖掘",1.3-1.5万,【岗位职责】：1-优化数据体系，完善数据产品，搭建数据看板，进行业务进度监控和异常指标预警2-做好预算管理，通过数据解读，协助业务及运营找到预算实现路径及提升点3-进行专题分析，能自主制定分析框架，输出分析报告，给出合理的策略建议及有力的决策支持【任职要求】：1-精通SQL，熟悉python、tableau、powerBI等数据工具，有较好的数据处理能力；2-较强的沟通表达能力、团队合作精神和主动...,培训/辅导服务,http://jobs.zhaopin.com/CC475394730J40855452502.htm,10000人以上,2025-11-28 10:57:58
数据分析管培生（高管直带+晋升快）,郑州,赛优教育,本科,1年以下,"销售数据运营,经营数据分析,行业数据分析,商业数据分析,市场数据分析,FineBI,Power BI",1-1.5万,【岗位内容】：1、深入一线，充分理解业务运营sop。能提炼出sop运营框架、关键指标，持续为业务运营提效赋能2、了解公司各产品的基本功能，能根据业务场景，选择合适的产品辅助业务，并将业务需求转化成合理的产品需求3、理解数仓、数据报表搭建的基本原理，快速理解并响应业务数据需求，准确、高效率的完成需求4、将产品、运营、数据知识，融入AI，搭建内部问答库，辅助业务更高效的利用产品产品数据功能，提升业务效...,培训/辅导服务,http://jobs.zhaopin.com/CC681311420J40898050015.htm,1000-9999人,2025-12-15 17:46:07
数据分析师（蜜雪冰城 五险一金）,郑州,蜜雪冰城股份有限公司,本科,3-5年,"数据分析,商业逻辑",1-1.5万,岗位职责:1、需求洞察及分析：负责海外国家相关需求的收集，明确目标、受众及需求的真实目的、业务痛点及潜在期望，结合现有业务流程及数据成熟度进行可行性分析；2、协同海外团队、BI开发和数仓开发，编写需求文档和指标白皮书，推动海外数据分析需求的落地，确保数据提取、处理和分析的准确性；3、深入理解海外业务流程（如招商管理、门店管理、供应管理等），分析海外各业务的机会和风险，建立海外国家专题数据分析模型，...,快速消费品,http://jobs.zhaopin.com/CC407014910J40735502106.htm,1000-9999人,2025-11-24 09:00:22
计划经理（郑州大展红旗）,郑州,河南博行汽车集团有限公司,大专,1-3年,"数据统计分析,新车销售",1-1.5万,全国百强经销商集团，全国销量冠军店岗位职责：1. 根据红旗品牌红旗体验中心总体销售策略，协助销售总监制定年度/月度销售计划；2. 利用DMS系统，负责销售预测、提报订单、配额/订单交易等工作，监控自检、物流信息；3. 根据订单转台和资源需求，协助财务总监做好资金规划；4. 根据物流信息，做好接车准备；5. 按照红旗品牌红旗体验中心接车管理规则，及时准备接验商品车，组织商品车交、接双方共同参与交验全...,零售/批发,http://jobs.zhaopin.com/CCL1216628090J40967803804.htm,1000-9999人,2025-11-19 15:56:32
数据运营管培生（全211团队+负责人直带）,郑州,赛优教育,本科,经验不限,销售数据运营,8000-15000元,【岗位内容】：1、深入一线，充分理解业务运营sop。能提炼出sop运营框架、关键指标，持续为业务运营提效赋能2、了解公司各产品的基本功能，能根据业务场景，选择合适的产品辅助业务，并将业务需求转化成合理的产品需求3、理解数仓、数据报表搭建的基本原理，快速理解并响应业务数据需求，准确、高效率的完成需求4、将产品、运营、数据知识，融入AI，搭建内部问答库，辅助业务更高效的利用产品产品数据功能，提升业务效...,培训/辅导服务,http://jobs.zhaopin.com/CC681311420J40909223815.htm,1000-9999人,2025-12-09 16:34:02
数据分析师助理,郑州,山东泽拢信息科技有限公司,本科,经验不限,"接受小白,五险一金,周末双休",8000-14000元·13薪,岗位内容：1. 收集和整理大量的数据，设计并实施数据分析模型和算法。2. 评估现有的数据集，并根据需要进行清理、转换和预处理。3. 对数据结果进行解释和汇报，向相关部门提供数据分析技术支持。4. 利用机器学习和人工智能技术改进公司的数据分析和决策过程。任职要求：1. 本科以上学历，接受应届毕业生，2. 熟练使用Python、R等数据分析软件和工具，能够独立完成数据分析任务。3. 深入理解机器学习和...,人工智能,http://jobs.zhaopin.com/CCL1514058360J40827136310.htm,300-499人,2025-12-24 15:11:19
数据分析员,郑州,瑞核(郑州)自动化科技有限公司,本科,经验不限,"数据治理,报表开发,数据建模,Python",7000-14000元,一、专业要求：电子信息，电子应用，电子科学与技术相关专业，测控技术与仪器专业二，任职职责：1.本科及以上学历2.熟悉单片机C语言程序开发3.具有分析能力4.沟通能力和抗压能力高职位福利：五险一金，周末双休，节日福利,智能硬件,http://jobs.zhaopin.com/CCL1492905920J40801200409.htm,20人以下,2025-12-17 14:09:38
